category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0043227	3.75566074516807e-44	1	4952	5226	membrane-bounded organelle	CC	4.58716403414829e-40	1
GO:0043231	5.68495097752003e-41	1	4758	5025	intracellular membrane-bounded organelle	CC	3.47179956197148e-37	1
GO:0003824	5.85191682826682e-39	1	3535	3688	catalytic activity	MF	2.3825104046817e-35	1
GO:0016020	1.81242434087886e-37	1	2854	2959	membrane	CC	5.5342377248736e-34	1
GO:0065007	1.54079989457146e-34	1	4333	4562	biological regulation	BP	3.76386598245917e-31	1
GO:0050794	1.24050903064452e-32	1	3580	3751	regulation of cellular process	BP	2.52526288338203e-29	1
GO:0051179	3.39455095226073e-28	1	2143	2218	localization	BP	5.17960847498565e-25	1
GO:0043167	3.48933059545637e-28	1	1921	1980	ion binding	MF	5.17960847498565e-25	1
GO:0050789	3.81664289134361e-28	1	3911	4125	regulation of biological process	BP	5.17960847498565e-25	1
GO:0032501	3.52240044981411e-27	1	3388	3566	multicellular organismal process	BP	4.30225990940296e-24	1
GO:0051234	6.59570415784971e-26	1	1874	1937	establishment of localization	BP	7.32363005308876e-23	1
GO:0032502	1.00049237211271e-25	1	2762	2891	developmental process	BP	9.46391334547303e-23	1
GO:0048731	1.00729387171401e-25	1	1450	1484	system development	BP	9.46391334547303e-23	1
GO:0048856	7.79091667605479e-25	1	2577	2693	anatomical structure development	BP	6.4860504656761e-22	1
GO:0006355	9.02757965584523e-25	1	1094	1113	regulation of DNA-templated transcription	BP	6.4860504656761e-22	1
GO:1903506	9.02757965584523e-25	1	1094	1113	regulation of nucleic acid-templated transcription	BP	6.4860504656761e-22	1
GO:2001141	9.02757965584523e-25	1	1094	1113	regulation of RNA biosynthetic process	BP	6.4860504656761e-22	1
GO:0050896	2.08572029639413e-24	1	2857	3001	response to stimulus	BP	1.37362217883898e-21	1
GO:0051252	2.13679559504999e-24	1	1251	1279	regulation of RNA metabolic process	BP	1.37362217883898e-21	1
GO:0006810	3.42748554739512e-24	1	1817	1880	transport	BP	2.0931654237942e-21	1
GO:0007275	4.43740251658611e-24	1	2197	2286	multicellular organism development	BP	2.58087782559918e-21	1
GO:0006725	4.66477123476218e-24	1	2559	2683	cellular aromatic compound metabolic process	BP	2.58979617551751e-21	1
GO:0048518	1.14520340983943e-23	1	1713	1770	positive regulation of biological process	BP	6.08152802077339e-21	1
GO:1901360	3.33957494999076e-23	1	2619	2750	organic cyclic compound metabolic process	BP	1.6995653516328e-20	1
GO:0009653	4.68499394140347e-23	1	1497	1539	anatomical structure morphogenesis	BP	2.28890064001208e-20	1
GO:0048869	6.50142087425681e-23	1	1646	1698	cellular developmental process	BP	3.05416748300664e-20	1
GO:0030154	1.06651190569434e-22	1	1638	1690	cell differentiation	BP	4.79286173839357e-20	1
GO:0046483	1.09874020529736e-22	1	2503	2627	heterocycle metabolic process	BP	4.79286173839357e-20	1
GO:0006139	4.93104782629147e-22	1	2428	2548	nucleobase-containing compound metabolic process	BP	2.07682131552841e-19	1
GO:0019219	5.92278747241747e-22	1	1314	1350	regulation of nucleobase-containing compound metabolic process	BP	2.41136420627023e-19	1
GO:0005886	1.30925515897242e-21	1	1439	1480	plasma membrane	CC	5.15846532635134e-19	1
GO:0048522	2.00898313876528e-21	1	1531	1581	positive regulation of cellular process	BP	7.66803751777474e-19	1
GO:0071944	5.25038705407512e-21	1	1798	1867	cell periphery	CC	1.9432796205598e-18	1
GO:0007154	8.57106796618768e-21	1	1791	1860	cell communication	BP	3.07903012173578e-18	1
GO:0051716	1.54231975291435e-20	1	1953	2036	cellular response to stimulus	BP	5.38225527488452e-18	1
GO:0031323	3.67848012170328e-20	1	1810	1884	regulation of cellular metabolic process	BP	1.24802656129122e-17	1
GO:0023052	1.41283119901911e-19	1	1746	1815	signaling	BP	4.66387034184308e-17	1
GO:0022008	3.05033191450853e-19	1	907	923	neurogenesis	BP	9.80440894837032e-17	1
GO:0090304	4.16621820695576e-19	1	2153	2261	nucleic acid metabolic process	BP	1.30477408153225e-16	1
GO:0007399	4.59312393627456e-19	1	1111	1138	nervous system development	BP	1.40251039394144e-16	1
GO:0005634	5.33193088976285e-19	1	2778	2940	nucleus	CC	1.58839521676984e-16	1
GO:0016070	1.3094735367336e-18	1	1901	1991	RNA metabolic process	BP	3.80807375658672e-16	1
GO:0048699	1.99849103607791e-18	1	842	856	generation of neurons	BP	5.67664407317572e-16	1
GO:0030182	2.42228759808528e-18	1	777	788	neuron differentiation	BP	6.72405016432127e-16	1
GO:0110165	8.96463724187769e-18	1	8928	9779	cellular anatomical entity	CC	2.43320176160654e-15	1
GO:0016787	1.71833233253752e-17	1	1464	1523	hydrolase activity	MF	4.5625458933942e-15	1
GO:0010556	1.979987737636e-17	1	1261	1304	regulation of macromolecule biosynthetic process	BP	5.14544047393322e-15	1
GO:0031326	2.17372666530109e-17	1	1315	1362	regulation of cellular biosynthetic process	BP	5.53122864374741e-15	1
GO:0006366	2.50568153861374e-17	1	915	937	transcription by RNA polymerase II	BP	6.24579475767922e-15	1
GO:0006357	3.98963160967139e-17	1	849	867	regulation of transcription by RNA polymerase II	BP	9.74587209610527e-15	1
GO:0007165	4.2445784803553e-17	1	1515	1575	signal transduction	BP	9.99691345460481e-15	1
GO:0043226	4.25609546126945e-17	1	5463	5899	organelle	CC	9.99691345460481e-15	1
GO:0048468	7.58322572388218e-17	1	1365	1413	cell development	BP	1.74757583002824e-14	1
GO:0009888	8.47462697472924e-17	1	1018	1045	tissue development	BP	1.9168350716545e-14	1
GO:0009889	9.88495145112025e-17	1	1323	1372	regulation of biosynthetic process	BP	2.19517812770878e-14	1
GO:0031224	1.10953920892455e-16	1	1481	1541	intrinsic component of membrane	CC	2.41998426746509e-14	1
GO:0043229	1.59577199470283e-16	1	5365	5795	intracellular organelle	CC	3.41943142864918e-14	1
GO:0140110	3.11028654606126e-16	1	701	713	transcription regulator activity	MF	6.54983446096418e-14	1
GO:1901362	3.33945814622977e-16	1	1485	1547	organic cyclic compound biosynthetic process	BP	6.91324437255091e-14	1
GO:0019438	5.00615413022576e-16	1	1437	1496	aromatic compound biosynthetic process	BP	1.01908610910962e-13	1
GO:0043168	5.40539369993171e-16	1	978	1003	anion binding	MF	1.08231932214698e-13	1
GO:0048513	6.1857724876643e-16	1	1186	1225	animal organ development	BP	1.21859718006987e-13	1
GO:0016021	6.37855713728426e-16	1	1452	1512	integral component of membrane	CC	1.23663010912365e-13	1
GO:0035295	1.14929875862364e-15	1	705	717	tube development	BP	2.19336484966081e-13	1
GO:0005524	1.48840141778308e-15	1	626	634	ATP binding	MF	2.79682075643117e-13	1
GO:0018130	1.85480962332232e-15	1	1443	1504	heterocycle biosynthetic process	BP	3.43252193019072e-13	1
GO:0009887	2.39747607687515e-15	1	739	753	animal organ morphogenesis	BP	4.37056310491837e-13	1
GO:0051641	2.99206101532377e-15	1	1143	1184	cellular localization	BP	5.3742695942889e-13	1
GO:0030554	5.72284685467987e-15	1	648	658	adenyl nucleotide binding	MF	1.01302683308782e-12	1
GO:0035639	6.33632801248047e-15	1	770	786	purine ribonucleoside triphosphate binding	MF	1.10559871920624e-12	1
GO:0017076	6.79584344916005e-15	1	802	820	purine nucleotide binding	MF	1.16907650546536e-12	1
GO:0032559	8.75317254343794e-15	1	643	653	adenyl ribonucleotide binding	MF	1.48487846452154e-12	1
GO:0009893	1.11399453572412e-14	1	893	918	positive regulation of metabolic process	BP	1.86388072045677e-12	1
GO:0036094	1.16373378655567e-14	1	1054	1087	small molecule binding	MF	1.92078979310689e-12	1
GO:0097367	1.26020478493576e-14	1	978	1008	carbohydrate derivative binding	MF	2.05228549909404e-12	1
GO:0032555	1.54473366082911e-14	1	791	809	purine ribonucleotide binding	MF	2.48254959649562e-12	1
GO:0060429	1.9054390914318e-14	1	939	966	epithelium development	BP	3.02247182633091e-12	1
GO:0000166	1.96493746838233e-14	1	932	958	nucleotide binding	MF	3.03794256187617e-12	1
GO:1901265	1.96493746838233e-14	1	932	958	nucleoside phosphate binding	MF	3.03794256187617e-12	1
GO:0034654	2.78418796032683e-14	1	1372	1431	nucleobase-containing compound biosynthetic process	BP	4.25075896842898e-12	1
GO:0009056	3.01014256958212e-14	1	1084	1124	catabolic process	BP	4.53899769689828e-12	1
GO:0012505	4.31707483687453e-14	1	1210	1259	endomembrane system	CC	6.43033561677872e-12	1
GO:0140096	5.42293913788523e-14	1	1260	1313	catalytic activity, acting on a protein	MF	7.98021429278676e-12	1
GO:0048666	9.11896771046906e-14	1	617	627	neuron development	BP	1.32594132875797e-11	1
GO:0032553	9.89749414366287e-14	1	801	821	ribonucleotide binding	MF	1.42221168789057e-11	1
GO:0080090	1.12621585043837e-13	1	1768	1858	regulation of primary metabolic process	BP	1.59948841828538e-11	1
GO:0032774	1.2583458334597e-13	1	1192	1240	RNA biosynthetic process	BP	1.76660184021573e-11	1
GO:0006351	1.49581253234672e-13	1	1189	1237	DNA-templated transcription	BP	2.05279261461604e-11	1
GO:0097659	1.49581253234672e-13	1	1189	1237	nucleic acid-templated transcription	BP	2.05279261461604e-11	1
GO:1990904	1.83239827739091e-13	1	580	599	ribonucleoprotein complex	CC	2.48676806222806e-11	1
GO:0043169	2.53006543273024e-13	1	1042	1081	cation binding	MF	3.39584826322716e-11	1
GO:0010604	4.0440106186181e-13	1	804	827	positive regulation of macromolecule metabolic process	BP	5.36886366258711e-11	1
GO:0065008	4.10376674423874e-13	1	1216	1267	regulation of biological quality	BP	5.38961365743354e-11	1
GO:0046872	4.20513858192731e-13	1	1017	1055	metal ion binding	MF	5.46399602549577e-11	1
GO:0009790	6.32430715049312e-13	1	538	546	embryo development	BP	8.13106184590768e-11	1
GO:0043565	8.69458261663437e-13	1	607	619	sequence-specific DNA binding	MF	1.10620450082888e-10	1
GO:0033036	9.68736523913486e-13	1	942	976	macromolecule localization	BP	1.21980906217313e-10	1
GO:0048729	1.2533788217819e-12	1	596	607	tissue morphogenesis	BP	1.5621192784943e-10	1
GO:0007049	1.35463522835381e-12	1	731	751	cell cycle	BP	1.67126410900136e-10	1
GO:0051649	1.43839182272953e-12	1	816	843	establishment of localization in cell	BP	1.75685177228184e-10	1
GO:0051253	1.91738849727764e-12	1	335	336	negative regulation of RNA metabolic process	BP	2.31871119858902e-10	1
GO:0007444	2.06167496481813e-12	1	562	572	imaginal disc development	BP	2.46875470787144e-10	1
GO:0000902	2.09386325175841e-12	1	553	562	cell morphogenesis	BP	2.48295589873565e-10	1
GO:0031325	2.26383509842716e-12	1	762	784	positive regulation of cellular metabolic process	BP	2.65870018194129e-10	1
GO:0035239	2.33265104403826e-12	1	500	507	tube morphogenesis	BP	2.71342855732222e-10	1
GO:0003700	2.50384058497649e-12	1	533	542	DNA-binding transcription factor activity	MF	2.88508574574555e-10	1
GO:0051171	3.12435900209975e-12	1	1739	1832	regulation of nitrogen compound metabolic process	BP	3.56644120108844e-10	1
GO:0002009	5.20328855230165e-12	1	577	588	morphogenesis of an epithelium	BP	5.88453392387152e-10	1
GO:0044248	6.47903648723866e-12	1	924	959	cellular catabolic process	BP	7.26008730781036e-10	1
GO:0022414	7.31975887812723e-12	1	1206	1261	reproductive process	BP	8.12759408522236e-10	1
GO:0045892	1.22977475012341e-11	1	314	315	negative regulation of DNA-templated transcription	BP	1.32924502637233e-09	1
GO:1902679	1.22977475012341e-11	1	314	315	negative regulation of RNA biosynthetic process	BP	1.32924502637233e-09	1
GO:1903507	1.22977475012341e-11	1	314	315	negative regulation of nucleic acid-templated transcription	BP	1.32924502637233e-09	1
GO:0002165	1.37040181171762e-11	1	549	560	instar larval or pupal development	BP	1.46825330950167e-09	1
GO:0040011	1.44494073613422e-11	1	435	440	locomotion	BP	1.53465270879508e-09	1
GO:1990837	3.47374640989215e-11	1	540	551	sequence-specific double-stranded DNA binding	MF	3.65761540089851e-09	1
GO:0000278	3.69445650575848e-11	1	477	486	mitotic cell cycle	BP	3.85675997960121e-09	1
GO:0001067	3.89840788377052e-11	1	518	528	transcription regulatory region nucleic acid binding	MF	4.03518253325196e-09	1
GO:0000904	3.99600700589657e-11	1	472	479	cell morphogenesis involved in differentiation	BP	4.10144786302695e-09	1
GO:0000976	4.17501805839015e-11	1	517	527	transcription cis-regulatory region binding	MF	4.23010851236551e-09	1
GO:0050793	4.19062657602936e-11	1	671	690	regulation of developmental process	BP	4.23010851236551e-09	1
GO:0007292	4.82096248412661e-11	1	639	656	female gamete generation	BP	4.82649473615757e-09	1
GO:0030030	5.97083335575951e-11	1	701	721	cell projection organization	BP	5.9290860656298e-09	1
GO:0060562	6.19807427609596e-11	1	457	464	epithelial tube morphogenesis	BP	6.10510316195452e-09	1
GO:1901575	6.51944813011232e-11	1	898	934	organic substance catabolic process	BP	6.37028315689535e-09	1
GO:0061564	8.75149671342096e-11	1	338	340	axon development	BP	8.48339530616854e-09	1
GO:0042221	9.12827463249555e-11	1	1165	1219	response to chemical	BP	8.77895640640163e-09	1
GO:0032504	9.67245479865246e-11	1	1097	1148	multicellular organism reproduction	BP	9.22963772740165e-09	1
GO:0042330	1.00474265665845e-10	1	336	338	taxis	BP	9.51312155691958e-09	1
GO:0051173	1.01667822780316e-10	1	735	759	positive regulation of nitrogen compound metabolic process	BP	9.55208298029834e-09	1
GO:0120036	1.46124847255228e-10	1	688	708	plasma membrane bounded cell projection organization	BP	1.36241899570638e-08	1
GO:0006996	1.57125495832969e-10	1	1624	1717	organelle organization	BP	1.45388697432112e-08	1
GO:0031090	1.84773550450104e-10	1	836	875	organelle membrane	CC	1.69686025954705e-08	1
GO:0019899	1.97432588073165e-10	1	427	434	enzyme binding	MF	1.79958330651167e-08	1
GO:0007409	2.53505507892004e-10	1	325	327	axonogenesis	BP	2.2935676099207e-08	1
GO:0048707	2.58353106136774e-10	1	437	444	instar larval or pupal morphogenesis	BP	2.32023885173129e-08	1
GO:0000981	2.60596845009151e-10	1	471	480	DNA-binding transcription factor activity, RNA polymerase II-specific	MF	2.32330647076041e-08	1
GO:0005515	2.74465708195251e-10	1	2310	2461	protein binding	MF	2.42922040572232e-08	1
GO:0009605	3.17105453988965e-10	1	997	1043	response to external stimulus	BP	2.78642159354045e-08	1
GO:0032990	3.21541269885969e-10	1	443	450	cell part morphogenesis	BP	2.80521790741945e-08	1
GO:0046907	3.37063083375217e-10	1	677	701	intracellular transport	BP	2.9197790782588e-08	1
GO:0009891	4.09731298671913e-10	1	513	525	positive regulation of biosynthetic process	BP	3.52426625491461e-08	1
GO:0022412	4.31413312555165e-10	1	839	871	cellular process involved in reproduction in multicellular organism	BP	3.65099995514336e-08	1
GO:0031328	4.37294754086772e-10	1	512	524	positive regulation of cellular biosynthetic process	BP	3.65099995514336e-08	1
GO:0045893	4.39411325860548e-10	1	419	426	positive regulation of DNA-templated transcription	BP	3.65099995514336e-08	1
GO:1902680	4.39411325860548e-10	1	419	426	positive regulation of RNA biosynthetic process	BP	3.65099995514336e-08	1
GO:1903508	4.39411325860548e-10	1	419	426	positive regulation of nucleic acid-templated transcription	BP	3.65099995514336e-08	1
GO:0009886	4.44384001772572e-10	1	451	459	post-embryonic animal morphogenesis	BP	3.66736905246635e-08	1
GO:0048477	4.80523252549063e-10	1	587	603	oogenesis	BP	3.93900067559346e-08	1
GO:0016740	5.56049188324385e-10	1	1161	1217	transferase activity	MF	4.52772319079603e-08	1
GO:0048858	5.66673629642016e-10	1	435	442	cell projection morphogenesis	BP	4.55352086345236e-08	1
GO:0120039	5.66673629642016e-10	1	435	442	plasma membrane bounded cell projection morphogenesis	BP	4.55352086345236e-08	1
GO:0070727	5.75544622523328e-10	1	751	779	cellular macromolecule localization	BP	4.59457648333328e-08	1
GO:0048812	6.52658733450803e-10	1	433	440	neuron projection morphogenesis	BP	5.16031390090575e-08	1
GO:0042995	6.54862170165704e-10	1	705	728	cell projection	CC	5.16031390090575e-08	1
GO:0010557	8.16001778933839e-10	1	468	478	positive regulation of macromolecule biosynthetic process	BP	6.38887546660122e-08	1
GO:0035556	8.43718034708208e-10	1	635	654	intracellular signal transduction	BP	6.56380387001659e-08	1
GO:0031175	8.4926404266785e-10	1	469	478	neuron projection development	BP	6.56513355515514e-08	1
GO:1901565	9.48031664356998e-10	1	550	566	organonitrogen compound catabolic process	BP	7.28255267198514e-08	1
GO:0120025	9.75057869250183e-10	1	698	721	plasma membrane bounded cell projection	CC	7.37136863263636e-08	1
GO:0140657	9.77031460025162e-10	1	372	377	ATP-dependent activity	MF	7.37136863263636e-08	1
GO:0048667	9.77699130904774e-10	1	428	435	cell morphogenesis involved in neuron differentiation	BP	7.37136863263636e-08	1
GO:0008104	1.17468638578632e-09	1	706	732	protein localization	BP	8.80222056195959e-08	1
GO:0007423	1.27584558196492e-09	1	473	483	sensory organ development	BP	9.50193776714607e-08	1
GO:0000977	1.41831294650036e-09	1	467	477	RNA polymerase II transcription regulatory region sequence-specific DNA binding	MF	1.04989541385184e-07	1
GO:0005215	1.68330308582886e-09	1	802	833	transporter activity	MF	1.23854601748878e-07	1
GO:0007560	1.94770143446589e-09	1	389	395	imaginal disc morphogenesis	BP	1.41079681774479e-07	1
GO:0048563	1.94770143446589e-09	1	389	395	post-embryonic animal organ morphogenesis	BP	1.41079681774479e-07	1
GO:0016310	1.95206044046888e-09	1	405	412	phosphorylation	BP	1.41079681774479e-07	1
GO:0071702	1.97373074816008e-09	1	794	827	organic substance transport	BP	1.41806749164866e-07	1
GO:0098796	2.17157916871301e-09	1	517	536	membrane protein complex	CC	1.55109169395676e-07	1
GO:0048609	2.30733595661022e-09	1	944	987	multicellular organismal reproductive process	BP	1.63847682407193e-07	1
GO:0003690	2.35696857087622e-09	1	569	585	double-stranded DNA binding	MF	1.66404705923018e-07	1
GO:0016192	2.53872185357205e-09	1	533	548	vesicle-mediated transport	BP	1.78206601836374e-07	1
GO:0051128	2.77337024334444e-09	1	681	704	regulation of cellular component organization	BP	1.9356539515548e-07	1
GO:0022857	3.17079599753115e-09	1	750	778	transmembrane transporter activity	MF	2.20046035874122e-07	1
GO:0044391	3.78121470510616e-09	0.999999999734277	173	175	ribosomal subunit	CC	2.60811215243764e-07	1
GO:0033554	3.80091667867938e-09	1	623	645	cellular response to stress	BP	2.60811215243764e-07	1
GO:0016477	3.97842530445792e-09	1	311	314	cell migration	BP	2.71466405970106e-07	1
GO:0031226	4.38296187834504e-09	1	516	529	intrinsic component of plasma membrane	CC	2.96918798592735e-07	1
GO:0007276	4.40005751967292e-09	1	923	965	gamete generation	BP	2.96918798592735e-07	1
GO:0046914	5.98563556445125e-09	1	695	722	transition metal ion binding	MF	3.99779807201767e-07	1
GO:0006950	5.98982354002974e-09	1	1244	1317	response to stress	BP	3.99779807201767e-07	1
GO:0008270	6.13901122521953e-09	1	501	516	zinc ion binding	MF	4.07510234265388e-07	1
GO:0048583	6.69995288033886e-09	1	992	1040	regulation of response to stimulus	BP	4.42341753948426e-07	1
GO:0032989	6.85930465552615e-09	1	563	579	cellular component morphogenesis	BP	4.50206969965809e-07	1
GO:0044281	6.89280361745589e-09	1	776	809	small molecule metabolic process	BP	4.50206969965809e-07	1
GO:0048749	7.84051702063374e-09	1	370	376	compound eye development	BP	5.09383377074577e-07	1
GO:0001654	8.8802664475236e-09	1	389	396	eye development	BP	5.65809811139089e-07	1
GO:0048880	8.8802664475236e-09	1	389	396	sensory system development	BP	5.65809811139089e-07	1
GO:0150063	8.8802664475236e-09	1	389	396	visual system development	BP	5.65809811139089e-07	1
GO:0055085	8.89434122635542e-09	1	680	705	transmembrane transport	BP	5.65809811139089e-07	1
GO:0007552	9.55797867913873e-09	1	460	471	metamorphosis	BP	6.04876433093267e-07	1
GO:1902531	1.01068464451595e-08	1	356	362	regulation of intracellular signal transduction	BP	6.36314548872053e-07	1
GO:0000987	1.12146528829447e-08	1	379	386	cis-regulatory region sequence-specific DNA binding	MF	7.02439847755316e-07	1
GO:1902494	1.18660063672138e-08	1	1064	1126	catalytic complex	CC	7.36451076610707e-07	1
GO:0006935	1.18782431711404e-08	1	278	280	chemotaxis	BP	7.36451076610707e-07	1
GO:0005887	1.27100258765553e-08	1	500	513	integral component of plasma membrane	CC	7.84041697253772e-07	1
GO:0010033	1.53331382387695e-08	1	588	609	response to organic substance	BP	9.41100253509198e-07	1
GO:0035120	1.59728616292392e-08	1	318	322	post-embryonic appendage morphogenesis	BP	9.70945184960334e-07	1
GO:0030163	1.60470143737426e-08	1	384	393	protein catabolic process	BP	9.70945184960334e-07	1
GO:0010646	1.61373728956073e-08	1	925	969	regulation of cell communication	BP	9.70945184960334e-07	1
GO:0023051	1.61373728956073e-08	1	925	969	regulation of signaling	BP	9.70945184960334e-07	1
GO:0048598	1.64827136909247e-08	1	237	238	embryonic morphogenesis	BP	9.86862083436052e-07	1
GO:0006508	1.81655006677782e-08	1	902	949	proteolysis	BP	1.08230939100607e-06	1
GO:0000978	1.94789924083459e-08	1	371	378	RNA polymerase II cis-regulatory region sequence-specific DNA binding	MF	1.15493404502688e-06	1
GO:0036211	2.25849638849856e-08	1	1238	1307	protein modification process	BP	1.33262197531988e-06	1
GO:0022402	2.36075354963758e-08	1	583	603	cell cycle process	BP	1.38273275112154e-06	1
GO:0048736	2.36606472068448e-08	1	336	341	appendage development	BP	1.38273275112154e-06	1
GO:0097485	2.40763891705875e-08	1	269	271	neuron projection guidance	BP	1.39460372706554e-06	1
GO:0003006	2.40921390544318e-08	1	900	943	developmental process involved in reproduction	BP	1.39460372706554e-06	1
GO:0007389	2.65461622618309e-08	1	511	526	pattern specification process	BP	1.52940955597171e-06	1
GO:0048737	2.93219240577168e-08	1	333	338	imaginal disc-derived appendage development	BP	1.68139896920635e-06	1
GO:0071840	2.97172408219146e-08	1	2914	3134	cellular component organization or biogenesis	BP	1.69610457663021e-06	1
GO:0035220	3.27028439994867e-08	1	385	393	wing disc development	BP	1.85782575167316e-06	1
GO:0035107	4.19241073679231e-08	1	328	333	appendage morphogenesis	BP	2.37065299718432e-06	1
GO:0007411	4.61355201956565e-08	1	261	263	axon guidance	BP	2.59677070815552e-06	1
GO:0035114	4.83355272885257e-08	1	326	331	imaginal disc-derived appendage morphogenesis	BP	2.70811986377088e-06	1
GO:0007186	4.95535346685343e-08	1	232	234	G protein-coupled receptor signaling pathway	BP	2.76368434904785e-06	1
GO:0051603	5.71361696812313e-08	1	366	375	proteolysis involved in protein catabolic process	BP	3.17209625675709e-06	1
GO:0000003	5.76842756117573e-08	1	1401	1491	reproduction	BP	3.18803503313124e-06	1
GO:0005681	5.98576374849656e-08	0.99999999727059	190	191	spliceosomal complex	CC	3.29324857766383e-06	1
GO:0043412	6.68994135574843e-08	1	1332	1411	macromolecule modification	BP	3.66416787978078e-06	1
GO:0051301	6.9739782246424e-08	1	265	268	cell division	BP	3.80268616231171e-06	1
GO:0000122	9.02701094570604e-08	1	212	213	negative regulation of transcription by RNA polymerase II	BP	4.90026274181571e-06	1
GO:0045934	1.33806176042313e-07	1	358	366	negative regulation of nucleobase-containing compound metabolic process	BP	7.22299371729705e-06	1
GO:0016788	1.34240999985789e-07	1	479	495	hydrolase activity, acting on ester bonds	MF	7.22299371729705e-06	1
GO:0048584	1.34941338992367e-07	1	515	533	positive regulation of response to stimulus	BP	7.22883120374025e-06	1
GO:0007472	1.42293618917807e-07	1	288	292	wing disc morphogenesis	BP	7.589407255293e-06	1
GO:0009057	1.46983946297683e-07	1	565	588	macromolecule catabolic process	BP	7.80548660904306e-06	1
GO:0042592	1.48443282669479e-07	1	448	462	homeostatic process	BP	7.84885824469704e-06	1
GO:0040007	1.54705843571698e-07	1	433	445	growth	BP	8.14472919562381e-06	1
GO:0005739	1.66730683192705e-07	1	839	892	mitochondrion	CC	8.74012259448799e-06	1
GO:0048646	1.6794003982331e-07	1	524	542	anatomical structure formation involved in morphogenesis	BP	8.7658959247945e-06	1
GO:0016491	1.71737023948588e-07	1	579	603	oxidoreductase activity	MF	8.92594047024706e-06	1
GO:0043632	1.7784107896924e-07	1	349	358	modification-dependent macromolecule catabolic process	BP	9.20402940055213e-06	1
GO:0051254	1.91187089020373e-07	1	468	483	positive regulation of RNA metabolic process	BP	9.85299200546343e-06	1
GO:0071705	2.06299758588743e-07	1	625	652	nitrogen compound transport	BP	1.05871649218609e-05	1
GO:0045935	2.10706519555542e-07	1	498	515	positive regulation of nucleobase-containing compound metabolic process	BP	1.07680729282485e-05	1
GO:0009792	2.3026984810014e-07	1	176	176	embryo development ending in birth or egg hatching	BP	1.17188163528963e-05	1
GO:0034330	2.31661740795068e-07	1	373	382	cell junction organization	BP	1.17407323737384e-05	1
GO:0007281	2.39131284692039e-07	1	705	736	germ cell development	BP	1.20692128563164e-05	1
GO:0003002	2.50043738436016e-07	1	475	490	regionalization	BP	1.2568042062788e-05	1
GO:0048285	2.55759828861692e-07	1	324	331	organelle fission	BP	1.28026661873636e-05	1
GO:0070647	2.7730657374277e-07	1	312	319	protein modification by small protein conjugation or removal	BP	1.38245815987518e-05	1
GO:0009966	2.8829941480338e-07	1	796	835	regulation of signal transduction	BP	1.43141831398719e-05	1
GO:0048589	3.02308256852747e-07	1	369	378	developmental growth	BP	1.49489597133581e-05	1
GO:0019941	3.22076897582108e-07	1	341	350	modification-dependent protein catabolic process	BP	1.58622872059188e-05	1
GO:0006468	3.4291066287826e-07	1	335	342	protein phosphorylation	BP	1.68205254473698e-05	1
GO:0030054	3.4574750070857e-07	1	450	463	cell junction	CC	1.68918398946179e-05	1
GO:0045165	3.7739716598612e-07	1	314	320	cell fate commitment	BP	1.83646573121692e-05	1
GO:0007476	3.79564828111433e-07	1	275	279	imaginal disc-derived wing morphogenesis	BP	1.83968444863216e-05	1
GO:0010647	3.89296320708188e-07	1	456	471	positive regulation of cell communication	BP	1.8719941972952e-05	1
GO:0023056	3.89296320708188e-07	1	456	471	positive regulation of signaling	BP	1.8719941972952e-05	1
GO:0008283	3.94540645734071e-07	1	304	310	cell population proliferation	BP	1.88977233215527e-05	1
GO:0006396	4.18910634312134e-07	1	621	653	RNA processing	BP	1.99866190917516e-05	1
GO:0016043	4.27771718501176e-07	1	2744	2955	cellular component organization	BP	2.0329975757873e-05	1
GO:0045944	4.29763834021327e-07	1	326	333	positive regulation of transcription by RNA polymerase II	BP	2.03454863129321e-05	1
GO:0048592	4.34701515703761e-07	1	315	321	eye morphogenesis	BP	2.04209396646375e-05	1
GO:0090596	4.34701515703761e-07	1	315	321	sensory organ morphogenesis	BP	2.04209396646375e-05	1
GO:0008134	4.38744074798933e-07	1	160	160	transcription factor binding	MF	2.05318778911654e-05	1
GO:0006511	4.71723224380954e-07	1	337	346	ubiquitin-dependent protein catabolic process	BP	2.19909445136984e-05	1
GO:0001700	5.66351971747538e-07	1	167	167	embryonic development via the syncytial blastoderm	BP	2.63019885282298e-05	1
GO:0002181	5.80811748863099e-07	0.999999970409654	133	134	cytoplasmic translation	BP	2.68713435629314e-05	1
GO:0007163	6.37831462109096e-07	0.999999966637259	194	195	establishment or maintenance of cell polarity	BP	2.93980131252849e-05	1
GO:0007155	6.70655159643865e-07	1	219	221	cell adhesion	BP	3.07946696236472e-05	1
GO:0030855	7.26087510397299e-07	1	389	400	epithelial cell differentiation	BP	3.32151043145791e-05	1
GO:0001745	8.52542109899192e-07	1	305	311	compound eye morphogenesis	BP	3.88542885459281e-05	1
GO:0005856	8.96049455927281e-07	1	534	555	cytoskeleton	CC	4.0685308753516e-05	1
GO:0048870	9.9651156727515e-07	1	372	382	cell motility	BP	4.50792306766618e-05	1
GO:0006793	1.06164234273327e-06	1	896	943	phosphorus metabolic process	BP	4.78483379119712e-05	1
GO:0006091	1.10558103187439e-06	1	224	229	generation of precursor metabolites and energy	BP	4.96454658945359e-05	1
